wavelength,irradiance 
751.61,1.2525
754.80,1.2445
758.01,1.2361
761.26,1.2270
764.53,1.2180
767.83,1.2093
771.15,1.2011
774.51,1.1928
777.90,1.1843
781.31,1.1757
784.76,1.1669
788.23,1.1574
791.73,1.1474
795.27,1.1378
798.83,1.1287
802.42,1.1190
806.05,1.1095
809.70,1.1005
813.39,1.0914
817.10,1.0817
820.85,1.0724
824.62,1.0640
828.43,1.0550
832.26,1.0444
836.13,1.0330
840.03,1.0219
843.96,1.0098
847.92,0.99664
851.91,0.98493
855.93,0.97565
859.99,0.96822
864.07,0.96095
868.18,0.95519
872.33,0.95129
876.50,0.94682
880.71,0.94106
884.94,0.93545
889.21,0.92920
893.50,0.92196
897.83,0.91423
902.19,0.90586
906.57,0.89773
910.99,0.88975
915.43,0.88185
919.91,0.87355
924.41,0.86545
928.94,0.85766
933.50,0.84941
938.09,0.84090
942.70,0.83322
947.35,0.82649
952.74,0.80342
957.41,0.79690
962.11,0.79132
966.83,0.78626
971.58,0.78075
976.35,0.77454
981.15,0.76749
985.98,0.76030
990.82,0.75269
995.70,0.74480
1000.59,0.73720
1005.51,0.73006
1010.45,0.72342
1015.42,0.71662
1020.41,0.70998
1025.41,0.70358
1030.44,0.69710
1035.49,0.69028
1040.57,0.68322
1045.66,0.67616
1050.77,0.66871
1055.90,0.66057
1061.04,0.65222
1066.21,0.64368
1071.39,0.63513
1076.59,0.62725
1081.81,0.61994
1087.04,0.61361
1092.29,0.60790
1097.55,0.60256
1102.83,0.59758
1108.13,0.59249
1113.43,0.58711
1118.75,0.58156
1124.09,0.57588
1129.43,0.57014
1134.79,0.56422
1140.16,0.55847
1145.53,0.55286
1150.92,0.54693
1156.32,0.54084
1161.73,0.53489
1167.15,0.52897
1172.57,0.52284
1178.01,0.51695
1183.45,0.51144
1188.90,0.50633
1194.35,0.50148
1199.82,0.49691
1205.28,0.49287
1210.76,0.48896
1216.23,0.48498
1221.72,0.48099
1227.20,0.47686
1232.69,0.47246
1238.19,0.46795
1243.68,0.46331
1249.18,0.45841
1254.68,0.45325
1260.19,0.44822
1265.69,0.44344
1271.20,0.43883
1276.70,0.43454
1282.21,0.43062
1287.72,0.42724
1293.22,0.42381
1298.73,0.42037
1304.24,0.41690
1309.74,0.41340
1315.24,0.40983
1320.74,0.40635
1326.24,0.40283
1331.74,0.39941
1337.23,0.39598
1342.72,0.39239
1348.21,0.38871
1353.69,0.38511
1359.17,0.38147
1364.64,0.37796
1370.12,0.37464
1375.58,0.37134
1381.04,0.36799
1386.50,0.36465
1391.95,0.36129
1397.40,0.35771
1402.84,0.35414
1408.28,0.35062
1413.71,0.34717
1419.13,0.34379
1424.55,0.34050
1429.96,0.33743
1435.36,0.33445
1440.76,0.33156
1446.15,0.32892
1451.54,0.32625
1456.91,0.32349
1462.28,0.32074
1467.64,0.31791
1473.00,0.31462
